scaffold,ligand,dG_pred,dG_obs,residual,confidence
ConA,Man,-22.2,-22.2,0.0,HIGH
ConA,Glu,-20.3,-19.3,-1.0,HIGH
ConA,1->2 diMan,-28.93,-28.5,-0.43,HIGH
ConA,1->3 diMan,-24.73,-25.1,0.37,HIGH
ConA,1->4 diMan,-26.68,-26.4,-0.28,MEDIUM
ConA,1->6 diMan,-22.48,-22.2,-0.28,HIGH
ConA,triMan,-25.01,-31.0,5.99,LOW
WGA,GlcNAc,-15.5,-15.5,0.0,HIGH
WGA,(GlcNAc)2,-22.03,-21.3,-0.73,HIGH
WGA,(GlcNAc)3,-24.06,-23.1,-0.96,HIGH
WGA,(GlcNAc)4,-24.34,-23.4,-0.94,HIGH
PNA,Gal,-18.9,-18.9,0.0,HIGH
PNA,GalNAc,-10.9,-20.1,9.2,MEDIUM
Gal3,Gal,-22.6,-22.6,0.0,HIGH
Gal3,LacNAc,-24.98,-27.8,2.82,MEDIUM
Davis,Glc,-24.4,-24.4,0.0,HIGH
Davis,Gal,-12.2,-12.7,0.5,HIGH
Davis,Man,-12.2,-12.4,0.2,HIGH
Davis,2dGlc,-17.8,-16.9,-0.9,HIGH
Davis,Fru,-10.45,-9.9,-0.55,LOW
Davis,GlcNAc,-6.0,-6.0,0.0,LOW
